Brand,Model,Body_Type,Variant,Seater,Price,Fuel_Type,Location,Gearbox_Type
Hyundai,Creta,SUV,1.5 E,5,13.01,Petrol,Delhi,Manual
Hyundai,Venue,SUV,1.2 E,5,9.06,Petrol,Delhi,Manual
Kia,Sonet,SUV,1.2 HTE(O),5,9.5,Petrol,Delhi,Manual
Kia,Syros,SUV,1.0 HTK Turbo,5,10.6,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Baleno,Hatchback,1.2 Sigma,5,7.58,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Brezza,SUV,LXi,5,9.76,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Grand Vitara,SUV,Sigma,5,13.11,Petrol,Delhi,Manual
Mahindra,XUV700,SUV,2.2 AX7 Luxury Pack 6 STR Diesel,7,27.44,Diesel,Delhi,Manual
Mahindra,Scorpio-N,SUV,2.0 Z2 Petrol (E),7,16.89,Petrol,Delhi,Manual
Tata,Punch,SUV,Pure,5,6.71,Petrol,Delhi,Manual
Tata,Nexon,SUV,1.2 Smart Plus,5,10.02,Petrol,Delhi,Manual
Tata,Curvv EV,SUV,Empowered Plus 55,5,22.35,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki Swift,Hatchback,LXi,5,7.31,Petrol,Delhi,Manual
Hyundai,Grand i10 Nios,Hatchback,1.2 Era,5,6.71,Petrol,Delhi,Manual
Hyundai,Aura,Sedan,1.2 E CNG,5,8.63,CNG,Delhi,Manual
Maruti Suzuki,Suzuki Wagon R,Hatchback,1.0 LXi,5,6.34,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Celerio,Hatchback,LXi,5,6.23,Petrol,Delhi,Manual
Honda,City,Sedan,1.5 SV-R,5,14.4,Petrol,Delhi,Manual
Renault,Kiger,SUV,RXE,5,7.08,Petrol,Delhi,Manual
Renault,TriberMPV/MUV7,MPV/MUV,1.0 RXE,7,7.08,Petrol,Delhi,Manual
Renault,Kwid,Hatchback,1.0 RXL(O),5,5.76,Petrol,Delhi,Manual
Tata,Nexon EV,SUV,Fearless 45,5,15.87,Electric,Delhi,Automatic
Hyundai,i20 N Line,Hatchback,N8,5,13.25,Petrol,Delhi,Manual
Toyota,Glanza,Hatchback,V,5,11.1,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki ErtigaMPV/MUV7,MPV/MUV,VXi,7,11.66,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki XL6,SUV,Zeta,6,13.61,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Alto K10,Hatchback,LXi (O) (2 Airbags),5,5.5,Petrol,Delhi,Manual
Hyundai,Venue N-Line,SUV,N6,5,14.15,Petrol,Delhi,Manual
Hyundai,Tucson,SUV,2.0 Platinum AT Petrol,5,34.14,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki EecoMinivan/Van7,Minivan/Van,5 STR STD,7,6.43,Petrol,Delhi,Manual
Kia,Carens,SUV,1.5 Premium(O) 7 STR Petrol,7,13.22,Petrol,Delhi,Manual
Toyota,Urban Cruiser Hyryder,SUV,Hybrid G CVT,5,21.84,Petrol,Delhi,Automatic
Honda,Elevate,SUV,SV-R,5,14.03,Petrol,Delhi,Manual
Toyota,Rumion,SUV,S AT Neo Drive,7,14.13,Petrol,Delhi,Automatic
Toyota,Innova Crysta,SUV,GX 7 STR,8,23.79,Diesel,Delhi,Manual
Mg,ZS EV,SUV,Executive,5,19.09,Electric,Delhi,Automatic
Mg,Hector Plus,SUV,1.5 Select Pro,7,22.22,Petrol,Delhi,Manual
Mg,Hector,SUV,1.5 Shine Pro,5,19.81,Petrol,Delhi,Manual
Mg,Gloster,SUV,2.0 Sharp 7 STR,7,48.09,Diesel,Delhi,Automatic
Mg,Comet EV,Hatchback,Excite,4,9.02,Electric,Delhi,Automatic
Mg,Astor,SUV,1.5 Sprint,5,13.35,Petrol,Delhi,Manual
Kia,Seltos,SUV,1.5 HTE (O),5,13.0,Petrol,Delhi,Manual
Skoda,Slavia,Sedan,1.0 Classic,5,12.32,Petrol,Delhi,Manual
Skoda,Kushaq,SUV,1.0 Sportline,5,17.44,Petrol,Delhi,Manual
Hyundai,Exter,SUV,1.2 EX,5,6.73,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Fronx,SUV,1.2 Sigma,5,8.51,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Invicto,SUV,Zeta Plus 7 STR,7,29.25,Petrol,Delhi,Automatic
Hyundai,Verna,Sedan,1.5 SX(O) IVT,5,19.09,Petrol,Delhi,Automatic
Tata,Harrier,SUV,Pure Plus S,5,22.14,Diesel,Delhi,Manual
Mahindra,Scorpio Classic,SUV,2.2 S 7STR,7,16.93,Diesel,Delhi,Manual
Hyundai,i20,Hatchback,1.2 Magna Executive,5,8.58,Petrol,Delhi,Manual
Tata,Punch EV,SUV,Adventure LR 3.3,5,13.65,Electric,Delhi,Automatic
Mahindra,XUV400,SUV,EL Pro 39.4 kWh,5,18.74,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki Jimny,SUV,Zeta,4,14.61,Petrol,Delhi,Manual
Mahindra,XUV 3XO,SUV,1.5 MX3,5,13.54,Diesel,Delhi,Manual
Toyota,Urban Cruiser Taisor,SUV,1.2 E,5,8.74,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Ignis,Hatchback,1.2 Sigma MT,5,6.42,Petrol,Delhi,Manual
Hyundai,Creta N Line,SUV,N8 DCT,5,21.42,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki S-Presso,SUV,1.0 LXi,5,5.52,Petrol,Delhi,Manual
Volkswagen,Virtus,Sedan,1.0 Comfortline,5,13.4,Petrol,Delhi,Manual
Volkswagen,Taigun,SUV,1.0 Comfortline,5,13.67,Petrol,Delhi,Manual
Mahindra,Bolero,SUV,B6(O),7,13.42,Diesel,Delhi,Manual
Mahindra,Thar,SUV,1.5 LX Hard Top Diesel,4,16.32,Diesel,Delhi,Manual
Tata,Safari,SUV,Smart,7,18.37,Diesel,Delhi,Manual
Toyota,Fortuner Legender,SUV,2.8 4x2 AT,7,53.19,Diesel,Delhi,Automatic
Mahindra,Bolero Neo,SUV,1.5 N4,7,11.91,Diesel,Delhi,Manual
Tata,Curvv,SUV,1.2 Pure Plus,5,13.12,Petrol,Delhi,Manual
Hyundai,IONIQ 5,SUV,RWD,5,47.72,Electric,Delhi,Automatic
Toyota,Fortuner,SUV,2.8 4x2 MT,7,43.61,Diesel,Delhi,Manual
Tata,Tigor,Sedan,XM,5,6.69,Petrol,Delhi,Manual
Tata,Tiago EV,Hatchback,XT MR,5,9.64,Electric,Delhi,Automatic
Tata,Tiago NRG,Hatchback,XZ,5,8.3,Petrol,Delhi,Manual
Honda,Amaze,Sedan,V,5,9.19,Petrol,Delhi,Manual
Mahindra,XEV 9e,SUV,Pack Three,5,33.42,Electric,Delhi,Automatic
Nissan,Magnite,SUV,1.0 Visia,5,7.08,Petrol,Delhi,Manual
Maruti Suzuki,launchMaruti Suzuki Dzire,Sedan,LXi,5,7.74,Petrol,Delhi,Manual
Tata,Tiago,Hatchback,XE,5,5.62,Petrol,Delhi,Manual
Mahindra,BE 6,SUV,Pack Three,5,29.61,Electric,Delhi,Automatic
Mahindra,Thar Roxx,SUV,2.0 MX3 AT,5,18.89,Petrol,Delhi,Automatic
Skoda,Kylaq,SUV,Classic,5,9.5,Petrol,Delhi,Manual
Mg,Windsor EV,SUV,Essence,5,17.19,Electric,Delhi,Automatic
Hyundai,Creta Electric,SUV,Smart,5,20.24,Electric,Delhi,Automatic
Hyundai,Alcazar,SUV,Executive,7,17.48,Petrol,Delhi,Manual
Kia,Carens Clavis EVMPV/MUV7,MPV/MUV,HTK Plus,7,18.91,Electric,Delhi,Automatic
Volkswagen,launchVolkswagen Tiguan R-Line,SUV,2.0L TSI,5,56.81,Petrol,Delhi,Automatic
Tata,launchTata Altroz,Hatchback,1.2 Smart,5,7.85,Petrol,Delhi,Manual
Renault,TriberMPV/MUV7,MPV/MUV,Authentic,7,7.25,Petrol,Delhi,Manual
Skoda,launchSkoda Kodiaq,SUV,Sportline,7,54.57,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki Baleno,Hatchback,1.2 Sigma,5,7.57,Petrol,Delhi,Manual
Citroen,Aircross,SUV,1.2 You,5,9.74,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki ErtigaMPV/MUV7,MPV/MUV,LXi,7,10.15,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Fronx,SUV,1.2 Delta AGS,5,9.96,Petrol,Delhi,Automatic
Citroen,Basalt,SUV,You,5,9.43,Petrol,Delhi,Manual
Tata,Harrier EV,SUV,Empowered 75,5,28.87,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki XL6,SUV,Alpha AT,6,16.42,Petrol,Delhi,Automatic
Kia,Carens Clavis,SUV,1.5 HTE,6,13.32,Petrol,Delhi,Manual
Citroen,C3,SUV,1.2 Live,5,7.15,Petrol,Delhi,Manual
Toyota,Innova Hycross,SUV,2.0 GX 7 STR CVT,8,23.97,Petrol,Delhi,Automatic
Bentley,Bentayga,SUV,EWB,5,676.0,Petrol,Delhi,Automatic
Mercedes-Benz,AMG EQS,Sedan,53 4MATIC Plus,5,252.0,Electric,Delhi,Automatic
Mercedes-Benz,EQE,SUV,500 4MATIC,5,148.0,Electric,Delhi,Automatic
Mercedes-Benz,EQS,Sedan,580 4MATIC,5,170.0,Electric,Delhi,Automatic
Mercedes-Benz,G-Class,SUV,G 400 d AMG Line,5,305.0,Diesel,Delhi,Automatic
Mercedes-Benz,GLA,SUV,220d AMG Line 4MATIC,5,65.46,Diesel,Delhi,Automatic
Jeep,Compass,SUV,2.0 Model S (O) Diesel,5,32.99,Diesel,Delhi,Manual
Citroen,E-C3,SUV,Live,5,12.96,Electric,Delhi,Automatic
Mercedes-Benz,GLB,SUV,220d 4MATIC AMG Line,7,85.59,Diesel,Delhi,Automatic
Jeep,Meridian,SUV,2.0 Limited (O) AT Diesel,7,41.46,Diesel,Delhi,Automatic
Citroen,C5 Aircross,SUV,Feel,5,44.38,Diesel,Delhi,Automatic
Mercedes-Benz,Maybach GLS,SUV,600 4MATIC,5,388.0,Petrol,Delhi,Automatic
Mercedes-Benz,Maybach S-Class,Sedan,S 680 4MATIC,5,398.0,Petrol,Delhi,Automatic
Mercedes-Benz,S-Class,Sedan,S 450 4MATIC,5,217.0,Petrol,Delhi,Automatic
Bmw,2 Series Gran CoupeCoupe5,Coupe,M Performance Edition,5,52.18,Petrol,Delhi,Automatic
Bmw,3 Series Gran LimousineCoupe5,Coupe,330Li M Sport,5,68.62,Petrol,Delhi,Automatic
Lamborghini,HuracanCoupe2,Coupe,Evo AWD,2,421.0,Petrol,Delhi,Automatic
Mahindra,Bolero Neo Plus,SUV,P4,9,13.88,Diesel,Delhi,Manual
Bmw,i7,Sedan,M70 xDrive,5,261.0,Electric,Delhi,Automatic
Bmw,iX,SUV,xDrive 40,5,126.0,Electric,Delhi,Automatic
Bmw,iX1,SUV,xDrive30 M Sport,5,70.01,Electric,Delhi,Automatic
Bmw,M2Coupe4,Coupe,3.0 Petrol,4,118.0,Petrol,Delhi,Automatic
Bmw,M340i,Sedan,xDrive,5,85.88,Petrol,Delhi,Automatic
Bmw,M8Coupe4,Coupe,Coupe,4,275.0,Petrol,Delhi,Automatic
Bmw,X3 M40i,SUV,xDrive,5,99.18,Petrol,Delhi,Automatic
Bmw,X4 M40i,SUV,xDrive,5,109.0,Petrol,Delhi,Automatic
Bmw,X5,SUV,xDrive40i xLine,5,112.00000000000001,Petrol,Delhi,Automatic
Aston Martin,Martin DBX,SUV,707,5,522.0,Petrol,Delhi,Automatic
Aston Martin,Martin VantageCoupe2,Coupe,V8,2,450.0,Petrol,Delhi,Automatic
Bmw,i5,Sedan,M60 xDrive,5,125.0,Electric,Delhi,Automatic
Bmw,5 Series,Sedan,530Li M Sport (Titanium Bronze),5,82.66,Petrol,Delhi,Automatic
Byd,Atto 3,SUV,Dynamic,5,25.86,Electric,Delhi,Automatic
Byd,Seal,Sedan,Premium,5,47.26,Electric,Delhi,Automatic
Audi,A8 L,Sedan,Technology,4,184.0,Petrol,Delhi,Automatic
Jeep,Wrangler,SUV,Unlimited,5,76.56,Petrol,Delhi,Automatic
Ferrari,296 GTBCoupe2,Coupe,3.0 Petrol,2,609.0,Petrol,Delhi,Automatic
Ferrari,296 GTSConvertible2,Convertible,3.0 Petrol,2,704.0,Petrol,Delhi,Automatic
Ferrari,F8 TributoCoupe2,Coupe,Berlinetta,2,454.0,Petrol,Delhi,Automatic
Ferrari,PortofinoConvertible2-4,Convertible,M,4,395.0,Petrol,Delhi,Automatic
Audi,e-tron Sportback,SUV,55,5,124.0,Electric,Delhi,Automatic
Bmw,Z4Convertible2,Convertible,M 40i,2,106.0,Petrol,Delhi,Automatic
Audi,Q3,SUV,Bold Editon,5,63.88,Petrol,Delhi,Automatic
Audi,Q3 Sportback,SUV,Bold Edition,5,65.37,Petrol,Delhi,Automatic
Audi,Q5,SUV,Bold Edition,5,84.61,Petrol,Delhi,Automatic
Mercedes-Benz,AMG GLC43 CoupeCoupe5,Coupe,4MATIC,5,128.0,Petrol,Delhi,Automatic
Land Rover,Rover Defender,SUV,90 Carpathian 5.0 Petrol,5,249.00000000000003,Petrol,Delhi,Automatic
Audi,A6,Sedan,Technology 45 TFSI W/O Matrix,5,75.18,Petrol,Delhi,Automatic
Audi,e-tron,SUV,55 Technology,5,129.0,Electric,Delhi,Automatic
Audi,A4,Sedan,Premium 40 TFSI,5,54.0,Petrol,Delhi,Automatic
Land Rover,Rover Range Rover,SUV,SE 4.4 Petrol,7,287.0,Petrol,Delhi,Automatic
Audi,Q8 e-tron,SUV,50,5,118.0,Electric,Delhi,Automatic
Bmw,7 Series,Sedan,740i M Sport,5,211.0,Petrol,Delhi,Automatic
Land Rover,Rover Range Rover Sport,SUV,HSE Dynamic 3.0 Diesel,5,170.0,Diesel,Delhi,Automatic
